,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
상추,1336.2626262626263,1141.217821782178,1006.1111111111112,942.6868686868688,957.47,850.71,1085.4949494949494,1653.15625,1812.8556701030927,1061.18,946.87,975.53,967.039603960396,890.5353535353536,917.43,918.0102214650768,1018.9536541889483,961.8428805237317,1045.9843304843305,1585.2896825396826,1441.6515151515152,1617.6945812807885,1302.853470437018,1230.7547649301143,1371.5786736020807,1437.6813186813188,1199.5749745025016,1002.9704142011834,986.0694915254236,1076.9327846364883,1376.8855140186915,1893.7285067873304,1885.797183098592,1396.3213793103448,1222.9051620648258,1309.4387211367673,1686.1924119241191,1620.4686648501363,1357.283464566929,1266.906581740977,1243.648148148148,1415.5184210526315,1580.4651685393258,1842.1601123595503,1956.367205542725,1705.481894150418,1504.4581005586592,1373.174688057041,1369.4545454545455,1364.8177215189874,1242.253112033195,1237.2253164556962,1180.8045685279187,1288.7687626774848,2100.4777777777776,2012.2329545454545,1846.237875288684,1335.6675257731958,1197.5657894736842,1109.3045685279187
호박,2068.6486486486488,2024.5945945945944,2036.9512195121952,1393.1707317073171,1579.2682926829268,1095.0,1074.6341463414635,1749.2857142857142,1602.2727272727273,1349.2045454545455,1563.9772727272727,1622.5581395348838,1833.7209302325584,1482.3255813953488,1414.4318181818182,1235.9448818897638,1187.3062015503876,1242.6029962546816,1139.996904024768,1563.3188405797102,1576.1799410029498,1416.2037533512064,1335.486187845304,1405.3583333333331,1888.3236151603496,2018.125,1556.0556395484746,1206.1503267973856,1111.6236162361624,1186.3342541436464,1314.2890995260664,2109.017964071856,2332.708333333333,1427.6175548589342,1306.3287671232877,1481.75,2196.741573033708,2464.5113636363635,2091.7052023121387,1740.074074074074,1465.4335260115606,1449.971590909091,1220.911214953271,1450.3157894736842,1942.868421052632,1678.5810055865925,1983.2087912087911,1918.1565836298928,2266.78391959799,2129.5,1852.8226415094337,1505.2186046511629,1278.6322869955156,1408.7942238267149,1822.2247706422015,1947.8712871287128,2142.60593220339,1691.7117117117118,1439.6164383561645,1314.4545454545455
닭고기,5942.083333333333,6079.690721649485,6135.2040816326535,6072.572916666667,6102.693877551021,5977.3263157894735,6144.896907216495,6502.734042553191,6315.869565217391,6437.135416666667,6265.635416666667,6353.191489361702,6584.840425531915,6483.462365591397,6360.688172043011,6300.909090909091,6311.875236294896,6214.675347222223,6220.5742128935535,6294.580601092896,6293.083451202263,6465.061459667094,6364.30852503383,6350.9124668435015,6342.450953678474,6379.611764705883,6317.205148691031,6275.269716088328,6271.488160291439,6301.8436578171095,6397.299625468165,6430.340909090909,6452.509641873278,6355.282191780822,6336.713933415536,6466.15331010453,6847.594315245478,6926.620879120879,6775.527704485488,6730.225263157895,6600.251308900523,6588.2486631016045,6756.880794701987,6847.425196850394,6965.845010615712,7071.0,7075.839779005525,6908.007220216607,7151.819672131148,7282.396782841823,7379.959090909091,7541.667621776504,7532.828908554572,7565.589449541284,7780.861271676301,7715.393393393393,7614.114285714286,7503.103857566765,7633.168141592921,7755.818181818182
돼지고기,12790.315789473683,13177.525773195875,13084.432989690722,13087.368421052632,13626.104166666666,14135.063829787234,14957.54347826087,14859.782608695652,14370.978260869566,13724.893617021276,12529.375,13371.875,13030.0,12797.263157894737,12531.041666666666,13175.090265486726,13353.109461966606,13278.640275387264,13166.475482912332,13035.023192360164,13796.867816091954,13466.053164556964,12663.823453608247,13013.2538071066,12735.43450064851,12440.725274725277,13333.676839272382,13424.348281016442,14734.199300699302,15644.893009985735,15178.641370869032,15523.88261851016,13088.79187817259,12518.551461245235,11985.148063781322,12077.611486486489,11689.899497487437,11640.642487046633,11540.50497512438,12140.528455284551,12711.171355498722,13200.343915343916,13339.58574610245,14655.34036939314,16955.444685466377,16673.056300268097,16304.5989010989,16203.333333333334,2940.952736318408,2740.278195488722,2719.4866529774126,2773.7625,3267.98,3416.199203187251,3370.8387096774195,3255.2391857506364,3233.3565573770493,3337.428211586902,3127.061381074169,3045.575
애호박,2222.377049180328,2044.1935483870968,2033.3333333333333,1386.5254237288136,1573.135593220339,1083.9655172413793,949.8245614035088,1786.6666666666667,1555.754716981132,1306.842105263158,1507.3636363636365,1705.5357142857142,1816.4912280701756,1466.8392857142858,1339.821428571429,1144.870481927711,1064.2772277227723,1169.2994186046512,1062.9628647214854,1646.3432835820895,1595.8644501278773,1377.234375,1225.7109557109557,1372.246013667426,2021.4218009478675,2152.8,1633.6678718893884,1245.148148148148,1115.3015384615385,1220.3050397877985,1352.5,2067.651933701657,2386.183574879227,1467.186147186147,1280.3696498054476,1520.0706214689264,2251.090047393365,2442.592783505155,2026.9318181818185,1491.6906474820144,1275.4585152838429,1536.607142857143,1208.1617647058824,1467.3863636363635,1933.248062015504,1624.3632075471698,1889.851485148515,1978.5915492957747,2360.2331606217617,2178.936781609196,1883.2242990654208,1508.4530386740332,1296.2359550561798,1434.5575221238937,1817.6608187134505,1974.75,2105.9803921568628,1612.6285714285714,1430.436046511628,1338.3333333333333
양파,3562.474747474748,3462.0,3232.161616161616,3182.787878787879,2995.44,2901.6060606060605,2921.696969696969,2971.848484848485,2983.16,2867.09900990099,2873.98,2865.15,2771.168316831683,2695.08,2684.7272727272725,2983.2576791808874,3018.4715302491104,2757.9459016393444,2462.071225071225,2513.4287581699346,2542.970108695652,2493.795371498173,2555.246523388116,2674.1602002503128,2871.819462227913,2944.054945054945,3255.9709344440816,3624.2345864661656,3583.774744027304,3481.795013850416,3252.388954171563,3383.2316017316016,3696.5380710659897,3789.480670103093,3811.449883449884,3784.623488773748,4270.25935828877,4818.730303030303,4831.392971246007,4366.299319727891,3525.7921052631577,3309.6935064935064,3207.1744680851066,3305.164556962025,3538.5173116089613,3558.568123393316,3472.802110817942,3410.5649122807017,3470.6907216494847,3415.8522427440635,3235.43347639485,3226.1305483028723,3242.751295336788,3567.2122448979594,3954.86835443038,3951.591511936339,4081.2034632034633,4113.4078947368425,4144.168,4205.324607329843
배,2899.89,3321.1435643564355,3256.9145728643216,3309.8743718592964,2863.0552763819096,2772.365,3700.489898989899,3896.858064516129,4062.946808510638,3109.6417910447763,2767.6530612244896,2956.234693877551,3043.3838383838383,2914.566326530612,2847.9543147208124,2821.33102852204,2868.844424460432,3066.4403973509934,3357.5342465753424,3609.969516235918,3814.836573074154,4133.514864864865,3552.893298633702,3528.719342604298,3669.584041857423,3709.4918032786886,3640.4739741900303,3515.3775130305285,3667.442538593482,3620.216850828729,3750.164383561644,4179.002398081535,4433.137524557957,4375.252180808882,3593.266793409379,3543.6983240223462,3613.1834482758622,3982.017094017094,4150.058091286307,4250.466073414906,4060.066206896552,3914.286919831224,3888.23112659698,4297.972260748959,4357.281115879829,3947.480845442537,3886.297959183674,3971.0,4053.891581632653,3986.769130998703,4006.5470085470088,4168.795629820052,4224.4618369987065,4153.59170984456,4402.551192145863,4496.964941569282,4543.223372781065,4232.479041916167,3519.7061994609167,3241.105670103093
달걀,4252.005102040816,4214.560606060606,3745.9949494949497,3708.994897959184,3615.6111111111113,3446.373737373737,3598.865979381443,3962.2295918367354,4107.076142131979,4043.560606060606,3976.274111675127,3957.326530612245,3831.5175879396975,3637.94923857868,3716.8010204081634,3903.808861859253,3921.741818181818,3885.003336113428,3876.664492753623,3841.207171314741,3965.7293388429753,4068.869187848729,4139.268214055448,4207.525542784164,4178.52091503268,4106.407821229051,4173.901293561932,4214.2719821162445,4196.404455869752,4190.838977194195,4175.178299120234,4173.404967602592,4358.2,4377.491591203105,4289.983711460151,4335.279690189329,4900.551767676768,5850.609375,5868.570707070707,5755.404517453799,6006.839285714285,6245.876802096986,6318.700964630225,6246.528205128205,5984.2340862423,5597.7733160621765,5485.0840998685935,5487.073192239859,5876.8085758039815,5997.669902912621,6116.832669322709,6081.244336569579,6308.200331125828,6440.105960264901,6373.612040133779,6237.728055077453,6309.159544159545,6300.45518453427,6443.929219600726,6465.921985815603
무,1716.2,2454.808080808081,2498.865979381443,2653.084210526316,2410.7525773195875,1934.2268041237116,2385.1041666666665,3102.535211267605,3008.8888888888887,2006.2291666666667,1659.6969696969695,1617.4747474747476,1494.3,1407.5,1360.8,1408.4300341296928,1494.0035587188613,1542.1243862520455,1543.3152639087018,1606.5098039215686,1812.404891304348,2419.9532595325954,2498.761290322581,2570.766355140187,2767.72268907563,2579.090909090909,2168.3388885718164,1699.8976608187131,1626.6442953020137,1717.577807848444,1942.1814006888635,2242.7494646680943,3104.406528189911,2766.011157601116,2124.9130938586327,1986.244482173175,2130.6192893401017,1950.8415584415584,1651.9139240506329,1589.0530612244895,1591.1355498721227,1615.3316326530612,1734.2071881606764,1995.0992555831265,1934.1006036217304,1796.0076335877864,1871.6015625,1937.305944055944,1754.1094147582696,1708.0229007633588,1621.9111570247933,1624.639097744361,1780.8827930174564,1971.6720321931589,2273.969309462916,2502.560224089636,2799.515625,2846.245901639344,2418.190476190476,2078.0518134715026
오징어,3998.865979381443,3808.091836734694,3803.5520833333335,3934.795918367347,3746.010101010101,3698.835051546392,3898.175257731959,4173.568421052632,3911.041237113402,4393.978494623656,4582.625,4425.6511627906975,4174.63829787234,4060.6021505376334,4138.333333333333,3965.772808586762,3733.7239488117,3619.875630252101,3353.939655172414,3732.232712765957,4020.532147742818,3968.26899128269,3845.32970027248,4215.686192468619,4779.320109439124,4584.977272727273,4417.404937122942,4171.506666666667,4133.815699658703,3350.96275862069,3638.743859649123,3974.185267857143,4828.713043478261,4959.080370942813,5112.692524682651,5497.387096774193,5193.10303030303,5399.755627009647,5081.564024390244,4560.220048899755,4350.234782608695,3873.360465116279,3850.423267326733,3920.294117647059,4218.8516260162605,4295.307291666667,4367.189944134078,4737.916988416989,4938.885154061624,4118.920212765957,4368.5472103004295,4662.639037433155,4611.753315649868,4321.057082452431,3870.669376693767,4032.4617563739375,4512.820045558086,4926.037900874636,4654.052631578948,4739.843137254902
고등어,3842.258064516129,3696.7741935483873,3969.3260869565215,3379.7954545454545,3398.4269662921347,3512.954545454545,3251.8387096774195,3423.21978021978,3318.648351648352,3212.769230769231,3128.1075268817203,3420.4148936170213,3149.021505376344,3258.6451612903224,3400.924731182796,3477.387640449438,3451.812133072407,3581.085561497326,3596.872611464968,3411.1871508379886,3486.908961593172,3523.6327827191867,3620.263433813892,3798.6478494623657,4017.116959064328,3974.939024390244,3953.689291833378,3811.107491856677,4011.593692022264,3977.505443234837,3796.485,3949.1147540983607,4081.357723577236,4059.4049247606017,3979.0321782178216,4031.6722222222224,3941.87811634349,4025.428977272728,4112.7,4184.008849557522,4001.188202247191,4043.650145772595,4038.4302325581393,4025.472972972973,4151.88961038961,4025.676795580111,4175.381088825215,4094.8953722334,4156.785100286533,4221.213450292397,4199.210900473934,4265.495626822158,4347.946428571428,4363.67681498829,4244.300283286119,4275.94395280236,4376.766509433963,4343.302052785924,4505.866666666667,4624.588235294118
사과,1813.23,1968.1782178217825,1802.7878787878788,1825.5816326530608,1843.1919191919192,1870.3939393939395,1808.591836734694,1944.680412371134,2294.877551020408,1943.1782178217825,1759.2244897959183,1871.1818181818185,2056.092783505155,1967.319587628866,1921.4639175257728,1930.9810671256453,1923.488413547237,1956.31855500821,1987.079885877318,1895.3368983957216,1951.9944674965425,1679.6416256157636,1681.3299232736572,1734.859296482412,1950.7958387516253,1843.4175824175825,1915.458860873051,1884.2375366568915,1983.3844856661049,2181.4074074074074,2358.296076099881,2277.768707482993,2502.973941368078,2451.282894736842,2315.3547008547007,2344.2262931034484,2567.817589576547,2699.167300380228,2669.633116883117,2701.760989010989,2715.6266666666666,2648.7741935483878,2601.726775956284,2323.1079365079363,2321.194915254237,2176.5226666666667,2246.0561497326203,2103.9825783972124,2365.982188295165,2330.1632653061224,2233.008316008316,2226.826972010178,2292.4249363867684,2339.5254582484727,2423.71834625323,2372.02110817942,2394.0369565217397,2201.9407216494847,2221.9310344827586,2257.2358974358976
오이,991.63,824.09,724.3838383838383,588.32,633.1313131313132,535.5858585858585,674.3737373737374,1002.4123711340206,834.7575757575758,699.82,766.9897959183673,868.57,936.1632653061224,817.7755102040817,762.5979381443299,617.5120689655172,570.5660714285714,524.0082781456954,637.8789173789174,960.0159574468086,891.3595041322315,841.8430160692212,881.5841836734694,955.5499367888748,1167.9518855656695,1154.8426966292134,886.6134301741374,654.4524158125915,569.2067226890756,616.0542005420054,827.7026406429392,1043.2139737991267,1338.994011976048,868.0693215339234,811.8177215189874,894.060669456067,1093.7870967741935,1140.874149659864,956.4754601226994,780.9211136890951,702.9544159544159,699.5441595441596,780.4052132701422,930.9173553719008,1020.6378600823044,954.4623376623376,1131.5775401069518,1232.2495667244368,1206.7682291666667,1124.7493333333334,1013.8034188034188,819.5012987012987,709.8685567010309,741.2494929006085,1166.8373983739837,1264.8138888888889,1219.3056768558952,1034.3886010362694,865.9162303664922,937.8461538461538
