종목,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.1,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.1,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.1,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.1,2022.11,2022.12
소비자물가지수(단일),98.106,98.855,98.751,98.931,98.979,98.779,98.59,99.462,100.221,100.041,99.33,98.988,98.884,99.311,99.121,99.481,99.652,99.491,99.187,99.425,99.794,100.041,99.481,99.719,100.09,100.16,99.94,99.5,99.44,99.71,99.63,100.19,100.74,100.18,100.09,100.33,101.04,101.58,101.84,101.98,102.05,102.05,102.26,102.75,103.17,103.35,103.87,104.04,104.69,105.3,106.06,106.85,107.56,108.22,108.74,108.62,108.93,109.21,109.1,109.28
총지수 (신선식품지수),98.106,98.855,98.751,98.931,98.979,98.779,98.59,99.462,100.221,100.041,99.33,98.988,98.884,99.311,99.121,99.481,99.652,99.491,99.187,99.425,99.794,100.041,99.481,99.719,100.09,100.16,99.94,99.5,99.44,99.71,99.63,100.19,100.74,100.18,100.09,100.33,101.04,101.58,101.84,101.98,102.05,102.05,102.26,102.75,103.17,103.35,103.87,104.04,104.69,105.3,106.06,106.85,107.56,108.22,108.74,108.62,108.93,109.21,109.1,109.28
신선식품 (신선식품지수),92.961,101.268,95.89,96.269,92.838,87.69,86.915,102.745,112.322,103.1,94.232,94.24,94.034,95.964,93.027,93.679,90.899,87.715,85.512,88.424,95.18,95.106,89.274,92.128,96.5,95.57,97.07,95.14,94.34,93.42,96.19,105.17,114.44,112.47,99.95,99.74,105.37,112.55,111.82,108.57,104.84,100.93,100.58,104.26,109.16,103.75,105.5,106.41,111.65,111.57,109.35,109.62,107.46,106.36,113.7,119.8,123.12,115.6,106.36,107.62
신선어개 (신선식품지수),92.806,93.193,93.773,94.454,95.018,95.018,94.454,92.848,92.007,93.302,94.059,94.16,92.688,92.461,91.839,92.31,92.831,93.252,93.42,91.023,92.419,93.823,94.774,97.171,99.11,100.44,99.76,100.65,100.65,100.28,99.08,97.82,98.48,99.91,101.56,102.26,102.62,102.71,102.47,102.15,102.3,101.82,100.11,99.95,100.6,100.34,102.23,103.2,103.36,103.18,102.99,104.36,104.85,104.54,103.39,102.73,104.7,106.95,109.2,110.86
신선채소 (신선식품지수),88.511,104.029,94.878,92.009,87.749,79.88,83.045,107.551,123.374,101.495,90.649,85.502,86.761,88.254,82.625,81.023,79.041,77.859,77.695,88.285,96.915,99.878,91.597,91.216,100.62,97.26,97.03,90.06,87.67,85.99,90.29,112.34,127.95,119.11,98.91,92.77,105.43,119.53,116.57,108.47,98.39,91.34,90.14,99.12,113.58,99.06,107,101.98,107.69,109.49,104.28,102.49,98.5,96.84,113.57,126.88,138.77,120.56,104.01,99.41
신선과실 (신선식품지수),98.01,103.661,98.444,102.196,97.005,91.38,86.12,104.103,113.775,111.478,98.305,103.99,103.002,106.885,105.342,108.618,102.751,94.916,88.841,86.83,95.133,90.687,83,89.742,89.96,90.16,95.18,96.97,97.39,96.93,100.83,102.28,110.55,113.94,99.98,105.83,107.26,111.66,113.12,113.28,113.99,111.18,112.75,113.19,110.26,111.53,106.15,113.74,122.08,119.93,119.65,121.49,119.51,118.46,121.22,124,118.55,116.18,106.99,114.61
신선식품제외 (신선식품지수),98.332,98.752,98.876,99.057,99.258,99.267,99.124,99.315,99.687,99.897,99.573,99.21,99.105,99.458,99.382,99.745,100.05,100.021,99.802,99.916,100.002,100.26,99.945,100.06,100.25,100.36,100.07,99.7,99.66,99.99,99.79,99.97,100.14,99.64,100.09,100.35,100.85,101.1,101.4,101.69,101.93,102.1,102.33,102.68,102.9,103.34,103.79,103.94,104.38,105.03,105.92,106.72,107.56,108.3,108.52,108.12,108.31,108.93,109.22,109.35
총지수 (수입물가지수),103.37,103.84,104.39,105.53,108.64,110.01,111.5,111.18,113.03,115.02,109.36,105.31,105.14,107.47,109.28,111.21,113.57,109.36,110.23,111.01,110.73,108.14,107.11,108.83,107.94,106.39,100.7,95.01,98.82,101.26,100.42,99.34,98.23,96.06,96.05,98.02,101.64,106.12,109.81,109.56,112.81,115.88,120.05,121.61,124.4,130.92,129.63,127.04,132.67,138.73,149.23,148.38,154,154.87,150.78,149.46,154.51,156.3,147.72,138.11
과일 (수입물가지수),103.8,106.18,102.79,112.5,108.63,107.66,103.23,105.09,103.88,103.49,104.77,102.55,99.21,99.2,103.06,106.32,118.46,113.14,107.96,114.12,111.46,103.59,105.55,103.3,101.22,100.69,103.53,106.78,114.33,113.4,105.8,104.86,107.48,99.79,98.37,100.92,105.66,101.36,105.01,105.55,109.82,106.19,108.53,111.1,113.19,112.57,117.48,114.98,111.15,112.97,116.64,120.32,131.5,136.68,139.06,137.42,141.8,144.04,135.27,129.49
냉동채소 (수입물가지수),91.05,92.15,87.21,83.7,84.95,86.25,88.65,87.94,89.38,90.98,90.8,90.34,90.27,90.3,90.97,100.25,103.97,103.29,115.03,118.14,116.57,116.39,114.75,115.57,116.18,119.13,121.75,112.47,112.83,112.76,115.3,114.14,113.89,109.46,106.79,104.72,107.16,108.54,110.44,109.91,110.3,110.1,114.32,139.84,140.95,148.11,149.67,150.59,151.9,192.92,164.56,162.14,165.51,166.66,175.33,177.97,183.86,188.43,189.19,181.45
쇠고기 (수입물가지수),83.63,86.65,83.8,83.27,86.05,87.42,90.8,91.37,92.77,94.66,96.62,95.85,95.77,97,98.36,100.8,104.61,105.3,102.98,106.58,103.54,104.11,111.61,104.61,100.75,103.58,106.32,104.33,106.06,97.55,94.45,93.59,95.27,93.57,96.73,93.06,95.45,101.68,100.69,105.07,108.08,107.83,111.3,114.56,115.94,118.72,120.6,121.29,132.1,127.11,132.04,135.32,139.79,140.61,144.53,141.55,145.09,144.31,130.5,121.17
돼지고기 (수입물가지수),116.31,118.08,116.9,116.59,117.31,117.17,113.56,112.96,116.91,118.15,114.93,112.84,111.46,111.64,127,134.09,140.25,136.47,130.88,131.92,142,145.32,143.42,141.7,137.11,133.61,141.06,136.29,134.47,135.79,130.82,129.09,138.94,144.42,134.32,130.85,134.12,139.83,151.12,157.14,157.12,154.43,153.29,154.97,154.01,156.73,152.05,148.07,147.08,148.68,153.33,158.82,162,161.57,158.01,158.15,157.49,155.87,145.89,138.21
닭고기 (수입물가지수),99.54,104.89,106.42,106.5,109.38,121.97,133.25,126.65,108.78,109.17,105.54,99.5,109.33,113.41,118.95,127.64,135.84,134.95,130.65,122.33,105.93,105.95,107.67,109.55,115.01,115.53,103.1,102.82,100.96,97.29,90.38,78.15,75.98,80.92,80.19,78.63,81.87,87.14,97.86,105.06,102.75,98.59,100.58,109.57,129.14,143.52,138.71,132.68,125.46,130.69,158.83,169.11,180.88,182.25,187.3,180.84,180.29,164.3,152.52,126.25
신선수산물 (수입물가지수),100.79,102.4,105.41,106.63,100.47,93.73,83.42,82.82,76.14,79.12,87.14,92.16,91.46,87.69,92.29,86.64,86.53,90.41,89.19,98.8,96.57,89.13,88.5,92.24,94.67,87.12,90.61,87.55,92.97,103.36,99.6,93.67,86.27,88.28,88.05,87.47,87.37,86.76,85.51,85.43,88.59,85.43,89.31,89.67,98.5,88.31,90.1,92.88,94.57,89.98,94.58,93.3,95.24,91.63,95.45,96.52,112.25,104.59,105.72,106.77
냉동수산물 (수입물가지수),94.82,97.18,96.49,96.83,99.97,104.88,106.38,106.75,101.94,104.16,102.15,100.77,98.61,98.65,100.52,101.44,104.54,103.86,103.83,113.13,119.74,118.4,117.88,118.74,117.58,120.56,123.94,123.26,125.06,119.68,118.59,116.03,115.24,104.72,95.34,93.5,95.55,96.78,98.46,97.46,99.17,99,98.4,99.81,100.55,99.4,101.53,100.66,101.54,102.9,107.83,117.74,121.92,122.64,119.58,119.18,126.55,122.33,115.34,109.6
총지수 (품목별소비자물가),98.106,98.855,98.751,98.931,98.979,98.779,98.59,99.462,100.221,100.041,99.33,98.988,98.884,99.311,99.121,99.481,99.652,99.491,99.187,99.425,99.794,100.041,99.481,99.719,100.09,100.16,99.94,99.5,99.44,99.71,99.63,100.19,100.74,100.18,100.09,100.33,101.04,101.58,101.84,101.98,102.05,102.05,102.26,102.75,103.17,103.35,103.87,104.04,104.69,105.3,106.06,106.85,107.56,108.22,108.74,108.62,108.93,109.21,109.1,109.28
배추 (품목별소비자물가),60.266,83.293,83.786,83.593,67.793,54.508,76.175,130.196,129.345,79.824,59.15,52.003,49.833,47.878,44.88,44.211,45.237,54.542,68.682,75.347,107.702,132.474,92.649,83.616,88.32,86.45,88.16,84.61,90.99,86.28,92.97,128.16,180.29,151.16,66.4,56.22,56.05,71.74,87.9,92.16,78.3,69.02,70.59,89.57,108.11,84.16,87.14,87.47,87.82,88.07,89.52,99.28,97.11,93.53,121.93,159.4,210.79,145.04,78.42,62.31
상추 (품목별소비자물가),89.102,92.305,74.956,76.172,73.384,73.609,92.261,129.04,188.294,107.156,81.152,74.782,77.766,76.915,73.253,72.823,74.439,68.834,80.679,129.31,118.47,140.274,100.946,89.313,115.4,90.46,81.31,73.41,71.78,81.18,111.3,176.77,142.79,98.16,76.99,80.43,105.92,104.31,87.33,85.83,86.22,97.18,111.2,144.59,201.08,125.01,134.21,93.22,107.84,101.21,86.35,91.21,85.71,87.19,181.39,179.79,172.65,103.27,88.2,89.76
오이 (품목별소비자물가),113.848,130.452,102.05,88.483,78.881,75.259,77.506,98.805,109.337,84.625,75.578,93.715,106.453,115.794,105.958,84.483,75.133,69.029,76.475,103.61,89.07,106.05,113.647,120.984,133.97,135.87,118.65,82.87,67.44,69.99,85.33,108.39,135.55,91.98,72.97,97.01,126.06,151.4,122.75,101.93,81.66,90.04,86.1,93.01,119.68,95.67,145.74,143,141.07,149.86,127.01,116.55,87.01,85.9,148.97,157.4,139.27,124.6,94.26,120.39
호박 (품목별소비자물가),106.958,138.009,116.63,85.967,77.202,70.743,61.653,80.269,127.576,71.302,96.136,93.101,100.359,100.336,81.619,64.424,56.7,65.403,60.473,98.372,96.509,87.892,71.403,75.347,120.9,124.74,129.4,76.37,64.03,70.49,74.73,153.39,141.66,88.19,69.1,87.01,127.29,144.36,120.32,87.82,70.95,91.14,68.88,76.21,135.71,84.44,125.27,112.7,138.06,131.18,112.78,95.83,71.25,79.13,119.17,139.6,150.09,101.54,81.5,88.89
양파 (품목별소비자물가),99.88,99.958,95.79,83.983,81.225,78.327,73.907,69.696,71.592,73.872,72.175,69.87,69.234,67.66,66.72,80.032,87.22,76.265,63.144,58.637,61.56,62.596,63.405,68.504,79.78,85.65,113.13,111.43,102.25,95.4,88.5,91.3,100.51,107.03,111.13,113.89,126.5,143.66,154.04,129.01,91.94,82.15,82.41,82.47,87.8,87.06,87.59,88.07,86.45,83.54,77.04,78.58,78.15,88.41,97.9,101.09,105.93,109.17,111.7,115.1
사과 (품목별소비자물가),89.718,97.501,95.849,96.419,88.443,83.055,74.412,89.167,114.795,105.129,98.418,96.815,99.306,103.169,100.243,101.72,96.071,88.008,79.289,76.392,105.091,88.568,88.82,87.342,79.19,81.93,81.24,83.91,90.73,97.24,104.89,108.33,121.66,123.98,112.17,114.72,119.16,128.55,129.47,130.34,130.27,130.45,128.79,118.35,108.49,99.11,101.04,97.43,99.99,102.88,102.08,99.87,100.67,105.48,112.07,117.77,105.89,95.2,92.91,93.49
배 (품목별소비자물가),76.701,82.17,78.597,76.831,70.394,66.195,59.261,70.98,93.742,95.239,90.796,94.775,101.937,117.041,115.983,115.438,109.017,99.902,90.007,86.702,110.832,94.743,90.218,92.122,90.29,89.57,90.55,92.07,92.93,94.19,96.12,97.51,104.21,114.96,117.01,120.58,124.59,136.41,137.81,139.51,141.56,145.04,149.98,153.82,132.76,123.75,113.13,113.74,115.86,119.2,120.04,117.85,119.97,124.98,128.98,124.17,118.03,104.94,96.69,94.51
돼지고기 (품목별소비자물가),90.255,90.347,89.151,90.94,91.661,96.36,103.733,100.484,101.214,97.537,88.549,87.536,84.205,83.777,83.512,91.341,92.938,92.838,92.537,92.016,97.437,96.971,86.204,89.954,84.68,82.11,90.99,92.84,105.15,109.27,106.94,107.9,105.79,107.65,101.93,104.73,102.23,98.42,96.63,102.73,110.7,113.95,115.2,118,121.65,118.57,115.04,120.17,113.38,110.65,105.75,108.38,133.63,135.15,126.6,122.47,126.62,122.45,118.05,117.99
닭고기 (품목별소비자물가),99.47,100.238,101.659,102.499,100.694,99.034,101.701,109.046,107.261,105.269,103.755,103.661,112.978,113.258,107.873,107.22,104.782,102.25,99.107,100.518,100.725,103.153,100.061,99.076,99.18,101.08,102.26,99.55,100.09,100.2,99.9,99.42,101.42,98.49,98.47,99.94,106.2,108.67,107.93,106.88,105.51,102.94,106.6,110.02,107.84,110.47,111.73,107.24,113.72,113.96,119.41,124.6,122.47,123.6,126.84,127.52,121.86,120.17,123.18,133.16
달걀 (품목별소비자물가),102.34,99.017,92.837,85.763,86.968,82.984,83.431,90.301,97.414,96.413,92.633,91.739,89.64,86.929,83.489,90.553,92.021,90.398,91.865,89.825,93.031,98.142,99.503,99.415,99.41,97.37,100.57,101.87,100.08,98.62,97.44,97.54,101.42,103.39,101.31,100.99,114.97,139.08,141.28,140.16,147.12,153.72,154.35,151.67,146.05,138.13,134.44,134.47,133.26,130.07,130.9,135.2,137.79,138.19,137.73,136.47,136.8,135.82,136.78,138.02
갈치 (품목별소비자물가),97.193,101.826,101.244,101.174,101.365,97.845,95.899,91.055,88.698,89.139,91.637,89.621,90.824,93.161,93.021,94.013,94.966,97.423,96.761,91.857,92.77,92.579,91.727,92.158,100.51,104.49,102.65,105.65,104.05,100.94,99.13,95.47,96.04,97.22,97.07,96.76,100.69,103.36,105.27,106.65,107.48,103.95,100.28,99.18,101.1,96.45,95.44,95.65,97.04,99.34,100.01,101.65,102.16,102.03,101.48,97.81,98.15,100.71,101.48,101.5
